--------------------------------------
Running config: /home/druijsch/LPJmL5/dev15oct2025/config_files/2026_04_08_run_for_10_locations/tropical_broadleaved_evergreen_tree/spinup/configs/tropical_broadleaved_evergreen_tree_patch4_config_spinup.cjson
SLURM task ID: 1
Node: tcn212.local.snellius.surf.nl
--------------------------------------
******************************************************************************
****        _     ____     _           _       ____        _  ___         ****
****       | |   |  _ \   | |_ __ ___ | |     | ___|      / |/ _ \        ****
****       | |   | |_) |  | | '_ ` _ \| |     |___ \      | | | | |       ****
****       | |___|  __/ |_| | | | | | | |___   ___) |  _  | | |_| |       ****
****       |_____|_|   \___/|_| |_| |_|_____| |____/  (_) |_|\___/        ****
****                                                                      ****
****                 lpjml C Version 5.10.1 (Apr 14 2026)                 ****
****    Dynamic global vegetation model with natural and managed land     ****
****                     Compiled for Linux with MPI                      ****
****       (C) Potsdam Institute for Climate Impact Research (PIK),       ****
****                          see COPYRIGHT file                          ****
****              Authors, and contributors see AUTHORS file              ****
**** This version of LPJmL is licensed under GNU AGPL Version 3 or later  ****
****        See LICENSE file or go to http://www.gnu.org/licenses/        ****
****                 or invoke lpjml -l to print license                  ****
****      https://gitlab.pik-potsdam.de/lpjml/wur_team/lpjml-wur.git      ****
****          GIT hash: 5e6f8e1bb5c5d5f3357da68b6c43e9517864f3c2          ****
****                                                                      ****
******************************************************************************

Running for user druijsch on tcn212.local.snellius.surf.nl at Tue Apr 14 16:07:07 2026
Reading configuration from '/home/druijsch/LPJmL5/dev15oct2025/config_files/2026_04_08_run_for_10_locations/tropical_broadleaved_evergreen_tree/spinup/configs/tropical_broadleaved_evergreen_tree_patch4_config_spinup.cjson'.
==============================================================================
/----------------------------------------------------------\
|institution: Potsdam Institute for Climate Impact Research|
|contact:                                                  |
|comment:                                                  |
\----------------------------------------------------------/
Simulation "LPJmL Run" running on 50 tasks
Simulation with shuffle spinup climate, equilsoil is called, 
nitrogen limitation, permafrost, Johansen conductivity, 
percolation heattransfer, GSI phenology, NPP controlled BNF.
Cultivation types: none, biomass, annual crop
Working directory: /gpfs/home5/druijsch/LPJmL5/dev15oct2025
cpp processed configuration file written to `/projects/prjs2023/chapter3/lpjml_output/2026_04_08_run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/output/lpjml_config_spinup.json`.
Starting from scratch.
Input files:
Variable     Fmt  Varname  Filename
------------ ---- -------- ---------------------------------------------------
soil         cdf  soilcode /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/soil.nc
temp         cdf  tas      /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/temp.nc
prec         cdf  pr       /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/prec.nc
lwdown       cdf  rlds     /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/lwdown.nc
swdown       cdf  rsds     /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/swdown.nc
no3_depo     cdf  noy      /projects/prjs2023/chapter3/lpjml_input/ndep-noy_histsoc_monthly_1901_2021_units.nc
nh4_depo     cdf  nhx      /projects/prjs2023/chapter3/lpjml_input/ndep-nhx_histsoc_monthly_1901_2021_units.nc
soilpH       cdf  soil_ph  /projects/prjs2023/chapter3/lpjml_input/hwsd_soil_data_all_land_oceanfilled.nc
co2          txt           /projects/prjs2023/chapter3/lpjml_input/co2_1832-2023.dat
windspeed    cdf  sfcwind  /projects/prjs2023/chapter3/lpjml_input/run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/wind.nc
------------ ---- -------- ---------------------------------------------------
Writing restart file '/home/druijsch/LPJmL5/dev15oct2025/restart/2026_04_08_run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/restart_1901_nv_stdfire.lpj' after year 1901.
Random seed: 2
Number of output files:       1
Output written in year:       -1020
Byte order in output files:   little endian

Variable   Fmt  Unit Type   tstep nbd Filename
---------- ---- ---- ------ ----- --- -----------------------------------------
globalflux txt  -    float  year    1 /projects/prjs2023/chapter3/lpjml_output/2026_04_08_run_for_10_locations/tropical_broadleaved_evergreen_tree/patch_4/output/globalflux_spinup.csv + .json
---------- ---- ---- ------ ----- --- -----------------------------------------
Spinup years:                  3000
Cycle length during spinup:      30
First year:                    1901
Last year:                     1901
Number of grid cells:            63
==============================================================================
Memory allocated for output: 344 bytes/cell
Simulation begins...
Spinup using climate starting from year 1901

         Carbon flux (ktC/yr)        Water (dam3/yr)                Nitrogen (MgN/yr)
       ----------------------- -------------------------- --------------------------------
Spinup NEP     estab   NBP     transp     evap    interc  nuptake ndemand  nlosses ninflux
------ ------- ------- ------- ---------- ------- ------- ------- -------- ------- -------
 -1099 -2698.020   0.554 -2697.465        0.0 4458050.8     0.0     0.0      0.0 346353.7   601.4
 -1098 -2613.448   0.060 -2613.388        5.6 4158155.7     5.4   109.6      0.0 195987.7   601.4
 -1097 -2447.268  -0.005 -2447.273     1115.0 3535377.7    18.2  1542.2      0.4 154191.9   602.8
 -1096 -897.111  -0.300 -897.411   195078.4 5456944.6  1360.7 24817.9      1.5 240009.0   612.0
 -1095 9120.743  -0.133 9120.610  5140017.7 1378544.0 149729.5 178487.2    151.7 206369.9   886.8
 -1094 6231.377   0.024 6231.401  5374161.8 627726.6 959920.8 105643.8    435.3 66536.7   669.9
 -1093 8487.569   0.010 8487.579  7287198.3 514591.1 1240370.7 162284.3   3641.2 30044.1  5228.4
 -1092 2772.750   0.014 2772.764  5683659.4 655074.5 1172952.2 92925.4   3167.2 20543.0  5045.8
 -1091 1124.470   0.025 1124.496  5655524.2 691214.3 814349.1 98878.1   3400.1 15625.3  7730.0
 -1090 2519.813   0.022 2519.836  6662882.5 701847.1 890674.7 123468.3   4752.7 13363.7 12590.9
 -1089 -1089.216   0.024 -1089.191  5007826.5 672216.3 501355.9 77324.7   3979.3 14613.0 10506.9
 -1088 867.869   0.019 867.888  5229131.8 727171.2 611897.0 91734.0   4511.5 14306.9 11904.2
 -1087  15.447   0.007  15.454  5661033.4 533945.9 762361.7 79233.1   5881.9 110320.0 17354.0
 -1086  24.063   0.002  24.066  5553069.4 515437.6 468994.4 77155.1   6269.9 150304.6 17989.0
 -1085 -125.962  -0.016 -125.978  5769308.6 490640.6 689059.6 73527.6   6672.5 143091.5 20234.1
 -1084  82.847  -0.040  82.808  5829252.1 465243.6 663348.5 72667.4   7257.3 29002.6 21675.3
 -1083  22.213  -0.042  22.171  6171352.3 381838.6 428593.5 74906.1   7843.7 19685.0 22904.3
 -1082 -89.976  -0.026 -90.002  5227438.7 648217.7 479843.1 72320.6   6053.9 20375.3 17869.4
 -1081 -64.988  -0.016 -65.004  4965426.0 496277.4 403967.8 74042.5   6273.1 18485.8 16663.2
 -1080 -526.279  -0.006 -526.285  4847411.6 478871.6 311470.6 71780.6   6447.1 19363.1 15346.3
 -1079 165.916  -0.018 165.898  5135553.6 553991.6 476070.4 73599.8   7546.8 20192.3 19817.3
 -1078 178.149  -0.013 178.136  5822663.1 361332.3 410511.1 74400.1   9346.5 18727.4 23070.9
 -1077 -67.580  -0.005 -67.585  4852741.3 585395.9 377416.9 73131.7   8228.3 18871.7 17194.1
 -1076 -170.327   0.007 -170.301  5126078.8 420528.3 335512.5 72638.0   8637.1 18420.2 19064.2
 -1075 -339.409   0.005 -339.404  4466261.1 489490.5 392286.8 69187.7   6060.4 22639.9 13608.4

         Carbon flux (ktC/yr)        Water (dam3/yr)                Nitrogen (MgN/yr)
       ----------------------- -------------------------- --------------------------------
Spinup NEP     estab   NBP     transp     evap    interc  nuptake ndemand  nlosses ninflux
------ ------- ------- ------- ---------- ------- ------- ------- -------- ------- -------
 -1074  83.501   0.001  83.503  5268080.4 466071.5 548312.4 73536.7   9485.9 20934.9 19890.7
 -1073 461.709   0.001 461.710  5120279.1 544905.0 446522.3 77025.1  11818.2 17590.3 20970.8
 -1072 -40.063  -0.006 -40.069  5197251.7 494725.1 591524.8 69224.2   9612.9 21512.3 18825.4
 -1071 364.604  -0.010 364.594  5197519.1 397503.6 684444.0 69944.5  11935.0 19579.5 22442.0
 -1070 247.651  -0.002 247.649  5466716.8 337899.7 567257.0 68799.8  11366.1 17735.4 21620.0
 -1069 541.026  -0.005 541.022  5591353.2 407688.1 658831.1 73807.2  14474.9 16258.7 24356.4
 -1068 -89.326  -0.009 -89.335  5053308.2 466907.4 689712.7 66597.1  11537.6 17732.6 18505.2
 -1067 689.436  -0.010 689.426  5350935.7 426529.1 572692.6 79346.4  14920.2 16563.9 21191.8
 -1066 141.685  -0.005 141.680  4793357.9 392036.0 619504.6 73929.2  11298.4 20953.2 15273.3
 -1065 498.377  -0.005 498.372  5275257.1 422658.7 631196.1 79211.0  15756.1 17307.6 19717.4
 -1064 667.643  -0.004 667.639  5573314.5 411690.1 846641.1 76667.5  17302.4 18205.3 22666.1
 -1063 386.728  -0.005 386.723  5407531.8 400014.2 697510.8 76799.9  16135.0 16048.3 19817.8
 -1062 688.157  -0.003 688.155  5541968.2 394640.2 789115.6 81095.2  17209.9 17701.0 20323.0
 -1061 195.782  -0.002 195.780  5273915.9 406829.3 758412.0 78301.8  16553.6 17651.0 17787.4
 -1060 478.559  -0.002 478.557  5368801.5 419054.2 795594.6 82865.2  18364.9 17033.6 16500.6
