number,values_0,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,values_10,values_11,values_12,values_13,values_14,values_15,datetime_start,datetime_complete,duration,params_alpha_boreal_broadleaved_summergreen_tree,params_alpha_boreal_needleleaved_evergreen_tree,params_alpha_boreal_needleleaved_summergreen_tree,params_alpha_temperate_broadleaved_evergreen_tree,params_alpha_temperate_broadleaved_summergreen_tree,params_alpha_temperate_needleleaved_evergreen_tree,params_alpha_tropical_broadleaved_evergreen_tree,params_alpha_tropical_broadleaved_raingreen_tree,params_beta_boreal_broadleaved_summergreen_tree,params_beta_boreal_needleleaved_evergreen_tree,params_beta_boreal_needleleaved_summergreen_tree,params_beta_temperate_broadleaved_evergreen_tree,params_beta_temperate_broadleaved_summergreen_tree,params_beta_temperate_needleleaved_evergreen_tree,params_beta_tropical_broadleaved_evergreen_tree,params_beta_tropical_broadleaved_raingreen_tree,system_attrs_NSGAIISampler:generation,state
0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:31:07.282142,2026-03-27 00:31:30.588522,0 days 00:00:23.306380,0.23821960365489148,0.4837400366855389,0.5079110344679815,0.8418018369983915,0.37854297209115295,0.7183246086537064,0.144510538136074,0.5002207774257248,14.336082236658784,10.831135444111748,0.9699504017181515,8.497448359305542,8.232864379143397,18.21122745855342,13.982995591941826,12.12830652555399,0,COMPLETE
1,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:31:30.600346,2026-03-27 00:31:51.373892,0 days 00:00:20.773546,0.8252068731463612,0.7793193430994021,0.3733519874934069,0.7852639673696586,0.6897827337288641,0.4551457426842753,0.09757480245856286,0.8907033802106125,24.583275663429944,24.41771840671338,0.31745163282376926,10.544518269297926,0.8364158875418568,11.026034704422257,8.80093524313168,16.62119126069395,0,COMPLETE
2,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:31:51.384576,2026-03-27 00:32:18.724746,0 days 00:00:27.340170,0.0241512912749558,0.45186389728790677,0.5476378858301959,0.6163418141460397,0.5813369051814351,0.20931543831533253,0.5276301466900569,0.40723130003183794,11.912368910910791,3.550070952111554,23.159468483973587,17.59400861931564,10.016821482397598,11.390436551301281,17.65348834708107,14.393113950746391,0,COMPLETE
3,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:32:18.735119,2026-03-27 00:32:46.237230,0 days 00:00:27.502111,0.3960764925894198,0.036391658183773844,0.6306033671839566,0.4985727727480695,0.5414049582470064,0.13822605046233552,0.11240962745254553,0.19407415051338697,17.996295190751844,4.432597917889468,18.834682551132556,24.127677391847264,1.9226551549280746,12.829906675367138,17.692830056334586,14.177981180985585,0,COMPLETE
4,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:32:46.247879,2026-03-27 00:33:06.855925,0 days 00:00:20.608046,0.8533491829725948,0.014359814650417798,0.5388455680631411,0.4271970155431605,0.11939723932836556,0.5230377257229709,0.09930086811173211,0.06846280900453577,21.70267196653569,5.090748142704381,17.727513069312398,3.6325593575886446,24.06685693345404,18.073938319277147,14.482395734341585,22.559228898153115,0,COMPLETE
5,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:33:06.866612,2026-03-27 00:33:34.170365,0 days 00:00:27.303753,0.3735117282432439,0.8055922290472968,0.877651310364046,0.24557710710979366,0.16229486705368218,0.9596973616870427,0.5604344849561578,0.10625658344049084,18.714144196094235,10.906934919709421,11.567072970985047,23.946471869923815,3.690632473708493,0.23609501503786398,4.09216068275666,21.884823467027292,0,COMPLETE
6,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:33:34.180823,2026-03-27 00:33:55.006250,0 days 00:00:20.825427,0.765734800642008,0.40469082162734576,0.644079441977856,0.7821392056112871,0.8948367254600785,0.9243549840048849,0.25094986023968363,0.2292072773024215,8.949532930526406,6.560615370516606,13.41704059278623,4.0609056510903825,22.593451304244187,24.443966242406564,24.231371378911184,13.942716855101331,0,COMPLETE
7,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:33:55.016480,2026-03-27 00:34:15.924809,0 days 00:00:20.908329,0.2903093235365855,0.7049431420063798,0.7554137164323287,0.8227020872328393,0.8980590167226683,0.6801821244359245,0.10160265716048122,0.8505290527865682,13.523264076762183,0.6059487828798908,4.614184329254137,7.983560560108686,10.293046166003997,23.458125828716103,18.07653776331825,8.57925210922507,0,COMPLETE
8,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:34:15.935206,2026-03-27 00:34:36.615514,0 days 00:00:20.680308,0.4167714524873103,0.5802792371692511,0.9309708088756314,0.41434491949063024,0.9477885207277691,0.6847282563808564,0.8258876933864981,0.08021726787904425,6.420875138814435,0.04469126220897957,13.273202463336556,24.65808825765077,6.358491529777172,23.824229602720113,0.9730365648654749,5.99845548914114,0,COMPLETE
9,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2026-03-27 00:34:36.625483,2026-03-27 00:35:29.467758,0 days 00:00:52.842275,0.7051616155896335,0.11629070734523049,0.2397621396351131,0.5337385927628777,0.8456540313721869,0.6950596479048636,0.6907018324697918,0.20611706706154834,18.74726665785392,1.8977094178739848,7.369311408856651,2.9755188415630824,11.59968705009092,14.661263662106816,0.7207015800124148,18.99836318047811,0,COMPLETE
